id,text
1624818446868283392,"b'@GeirMunch N\xc3\xa5 har jo en god del skoler spesielt i Oslo stort eller kun innslag av fremmedpr\xc3\xa5klige, da blir norsk kanskje lite praktisert. Unge l\xc3\xa6rer spr\xc3\xa5k fort om de praktiserer det, det har jeg sett her p\xc3\xa5 butikken bl.a der ungene tolker/forklarer for foreldrene.'"
1624817433784553475,"b'E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Flere kj\xc3\xb8ret\xc3\xb8y involvert i trafikkuhell. Disse st\xc3\xa5r p\xc3\xa5 vegskulder. Noe redusert fremkommelighet p\xc3\xa5 stedet.'"
1624817288896552964,b'@oisincantwell Man kan jo forestille seg \xc3\xa5 komme fra et nedblendet Oslo til Stockholm midt under krigen.'
1624815802158292993,b'#E6 #Granskrysset Kjedekollisjon mellom tre biler sydover mot Oslo. Kun materielle skader. Vil erfaringsmessig medf\xc3\xb8re noe trafikale problemer. Bilene st\xc3\xa5r p\xc3\xa5 vegskulder'
1624815610927382528,"b'@vygruppen Tog Oslo- Gardermoen kr 460,-, Tog K\xc3\xb8benhavn-Kastrup 60,-...hva er forskjellen mellom de 2 reisem\xc3\xa5l? Og s\xc3\xa5 st\xc3\xa5r prisforskjell?'"
1624812600218292226,b'Gordievskij til Oslo sommeren 1987: Kritisk for Einar F\xc3\xb8rde https://t.co/34gfJlgnNm'
1624810637137174538,b'@MalteEV @eivindtraedal Jeg har brukt metroen mye og den er fin. Men det er ett grovmasket nett og overraskende lite bussruter. I Oslo er vi stort sett bortskjemt med at det aldri er veldig langt til en bussholdeplass.'
1624809771864928259,"b'@RekstadYvind Minner vel mer om Domkirken i Oslo enn i Hamar akkurat den. Det er jo nettopp ikke det monumentales men det slanke og elegante jeg liker her. Ikke d\xc3\xa5rlig utsikt \xc3\xa5 ha, tok dette nettopp n\xc3\xa5. https://t.co/lIfBgHUeuM'"
1624809728286023681,"b'Kj\xc3\xa6re Sammia, det er ikke jeg som undertrykker deg og millioner av kvinner i muslimske land. Det er koransvers som dette: \xc2\xabEn s\xc3\xb8nn skal ha like mye som to d\xc3\xb8tre\xc2\xbb Eller \xc2\xabMenn har autoritet over kvinner\xc2\xbb Aksepterer du det?https://t.co/aqiMnGI2AJ'"
1624806637385965571,b'@Roger_Dyroy Luksussubsidiering av bil til de som pendler typ Drammen- Oslo'
1624804501000527874,b'\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c #s\xc3\xb8ndagettermiddag #Oslo \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 B\xc3\xb8r @Forbrukerradet nevne at dette er #svindyrt ??? @Aftenposten @tv2nyheter @Nettavisen @Morgenbladet #deregulering https://t.co/87J7wXFzjg'
1624803579025293312,b'@eivindtraedal Det er helt normalt.  Det som p\xc3\xa5g\xc3\xa5r i Oslo er unormalt.'
1624802066316099585,"b'Kopervik-OsloHar r\xc3\xa5dhuset, mest by. Folk er anten rike eller kriminelle, eller begge deler.'"
1624801802360131586,b'@torewalaker Blir interessant \xc3\xa5 se om Apmg\xc3\xa5r tilbake i Oslo. Jeg tror velgerne klarer \xc3\xa5 skille Raymond fra St\xc3\xb8re'
1624801769690636288,b'#BET #INPLAY #LIVENOW #HANDBALL\xf0\x9f\x8f\x86 Handball\xf0\x9f\x9a\xa9 Oslo-Studentenes IK \xf0\x9f\x86\x9a Bergen HC\xe2\xad\x90\xef\xb8\x8f ODDS: 9.0 / 14.0 / 1.08 \xf0\x9f\x8e\xaf Bet now: https://t.co/8fJgViQ71U\xe2\x9a\xa1\xef\xb8\x8f Follow: @InPlayFeed\xe2\x8f\xb1 15-min poll:'
1624801284590116866,"b'Som vanlig har @Raudt  og @SofieMarhaug ikke forst\xc3\xa5tt konseptet bedrift og eierskap. Tar man Oslo B\xc3\xb8rs s\xc3\xa5 eies n\xc3\xa5 ca 18% av personer bosatt i Norge, n\xc3\xa6rmere 40% staten og resterende utenfor. Uavhengig av eierskap m\xc3\xa5 jo regelverket v\xc3\xa6re likt for norske selskap'"
1624800389777309697,"b'RT DyrebarNo ""Gr\xc3\xa5/hvit hannkatt savnet i #Jutulveien, #Oslo, #Oslo. https://t.co/rSJb6pRsq2 #katt #savnet""'"
1624800105701285890,"b'Norway \xf0\x9f\x87\xb3\xf0\x9f\x87\xb4- T\xc3\xb8nsberg, Oslo, Sandefjord &amp; Horten -  Snow Walk - 4K HDR - W... https://t.co/cNno5TTQh4 via @YouTube'"
1624799729694416903,b'@sjakhaaheim Og her er litt av bakgrunnen for det h\xc3\xb8ye snittet for Oslo...https://t.co/tjpdknjcb4'
